Dataset,System,Recall@3,Recall@5,MRR,Semantic_Sim,Key_Coverage,Hallucination%,Avg_Latency_ms,p50,p95
Python Textbook,bm25,0.5667,0.655,0.8,0.5701,0.4857,8.0,0.2,0.0,1.5
Python Textbook,vector,0.5933,0.7,0.7807,0.6423,0.4973,2.0,0.1,0.0,1.0
Python Textbook,hybrid,0.5983,0.72,0.793,0.5992,0.504,2.0,66.4,64.0,85.2
AI/ML Notes,bm25,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
AI/ML Notes,vector,0.8333,0.8889,0.8796,0.6924,0.4472,0.0,0.1,0.0,1.0
AI/ML Notes,hybrid,0.8333,0.8889,0.8889,0.6924,0.4472,0.0,65.5,63.8,103.0
